epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2527.8,0.53699,0.45163,0.98784,0.65953,0.81681,0.73374,0.67791,0.30499,0.6073,0.88541,0.000679204,0.000679204,0.000679204
55,2574.36,0.53025,0.44196,0.98817,0.6527,0.88974,0.77135,0.71508,0.30303,0.40765,0.8888,0.000665057,0.000665057,0.000665057
56,2621.34,0.52042,0.43966,0.985,0.66998,0.92177,0.73496,0.68366,0.29186,0.5529,0.88395,0.000650909,0.000650909,0.000650909
57,2667.69,0.53258,0.46698,0.98238,0.6725,0.90005,0.74282,0.69151,0.29582,0.56827,0.88702,0.000636762,0.000636762,0.000636762
58,2714.14,0.50402,0.4354,0.97377,0.65478,0.93293,0.73775,0.68737,0.29611,0.59011,0.89287,0.000622615,0.000622615,0.000622615
59,2760.7,0.50969,0.44965,0.9815,0.6479,0.90543,0.70742,0.6585,0.2988,0.67686,0.88663,0.000608468,0.000608468,0.000608468
60,2807.39,0.53498,0.45506,0.98319,0.68692,0.81782,0.71934,0.6676,0.30223,0.56415,0.88749,0.000594321,0.000594321,0.000594321
61,2854.18,0.50745,0.43815,0.98036,0.70508,0.7566,0.72361,0.67444,0.3006,0.54257,0.88522,0.000580174,0.000580174,0.000580174
62,2900.77,0.5052,0.44195,0.98003,0.65192,0.86558,0.74181,0.69406,0.29481,0.55894,0.88768,0.000566027,0.000566027,0.000566027
63,2947.41,0.51929,0.43624,0.98241,0.67349,0.74606,0.71715,0.67192,0.29056,0.55638,0.88773,0.00055188,0.00055188,0.00055188
64,2994.19,0.52158,0.44953,0.98145,0.63614,0.80158,0.7133,0.66786,0.29512,0.49683,0.88568,0.000537733,0.000537733,0.000537733
65,3041.05,0.50664,0.43722,0.97641,0.63633,0.8701,0.70716,0.66017,0.28915,0.56428,0.88536,0.000523586,0.000523586,0.000523586
66,3087.76,0.50133,0.42175,0.97751,0.63141,0.87741,0.72103,0.67475,0.28933,0.52873,0.88973,0.000509438,0.000509438,0.000509438
67,3134.5,0.50669,0.42862,0.97732,0.63185,0.90404,0.69775,0.65431,0.29242,0.56833,0.88989,0.000495291,0.000495291,0.000495291
68,3181.14,0.50177,0.43385,0.97608,0.63605,0.87937,0.71715,0.6696,0.28553,0.52055,0.88231,0.000481144,0.000481144,0.000481144
69,3228.05,0.4999,0.41783,0.97425,0.6542,0.88032,0.72534,0.67723,0.29148,0.54319,0.88597,0.000466997,0.000466997,0.000466997
70,3274.52,0.49291,0.41936,0.97078,0.67075,0.90626,0.74248,0.69169,0.28798,0.54724,0.88298,0.00045285,0.00045285,0.00045285
71,3320.98,0.4949,0.42239,0.96746,0.65488,0.91474,0.7206,0.67206,0.29251,0.56247,0.88636,0.000438703,0.000438703,0.000438703
72,3367.5,0.50062,0.42433,0.97017,0.63653,0.88433,0.71088,0.66409,0.28848,0.51262,0.8845,0.000424556,0.000424556,0.000424556
73,3414.35,0.50722,0.42723,0.97056,0.6453,0.85314,0.69322,0.64873,0.29272,0.56556,0.88878,0.000410409,0.000410409,0.000410409
74,3460.71,0.49162,0.41623,0.96117,0.66915,0.87713,0.70473,0.66,0.29122,0.56128,0.88503,0.000396262,0.000396262,0.000396262
75,3507.07,0.47594,0.39927,0.9643,0.6518,0.8417,0.71842,0.66942,0.296,0.55968,0.88586,0.000382115,0.000382115,0.000382115
76,3553.41,0.48577,0.41626,0.96752,0.66959,0.90017,0.72683,0.68002,0.29261,0.55102,0.88886,0.000367967,0.000367967,0.000367967
77,3599.89,0.47962,0.41023,0.96298,0.66734,0.90403,0.72824,0.6812,0.2929,0.64441,0.88515,0.00035382,0.00035382,0.00035382
78,3646.7,0.49711,0.42411,0.97175,0.66573,0.85732,0.72627,0.68065,0.28852,0.54317,0.88697,0.000339673,0.000339673,0.000339673
79,3693.17,0.48172,0.40718,0.95489,0.65377,0.84291,0.70893,0.66401,0.28831,0.6072,0.88512,0.000325526,0.000325526,0.000325526
80,3740,0.46895,0.39717,0.95882,0.64564,0.79243,0.72084,0.67694,0.29011,0.50339,0.89611,0.000311379,0.000311379,0.000311379
81,3786.65,0.47651,0.40293,0.96096,0.67368,0.88456,0.74295,0.699,0.28361,0.5128,0.8875,0.000297232,0.000297232,0.000297232
82,3833.29,0.47963,0.41362,0.95708,0.68492,0.83594,0.7216,0.67588,0.28732,0.57118,0.88748,0.000283085,0.000283085,0.000283085
83,3879.64,0.47599,0.39813,0.95743,0.62056,0.89435,0.70379,0.66129,0.28421,0.65533,0.88319,0.000268938,0.000268938,0.000268938
84,3926.32,0.48002,0.40736,0.95865,0.67329,0.78195,0.71884,0.67611,0.28116,0.57683,0.88043,0.000254791,0.000254791,0.000254791
85,3973.04,0.46918,0.39792,0.95771,0.68094,0.80409,0.71289,0.66797,0.2853,0.59343,0.87938,0.000240644,0.000240644,0.000240644
86,4019.55,0.47288,0.40412,0.9618,0.65997,0.81397,0.72277,0.67657,0.28505,0.55905,0.88123,0.000226497,0.000226497,0.000226497
87,4065.87,0.45665,0.37867,0.96007,0.64578,0.89816,0.70969,0.66463,0.28416,0.59166,0.88318,0.000212349,0.000212349,0.000212349
88,4112.41,0.45446,0.38755,0.9504,0.62186,0.89353,0.71704,0.67317,0.28018,0.58373,0.8804,0.000198202,0.000198202,0.000198202
89,4159.08,0.44863,0.38446,0.94926,0.67826,0.84217,0.70486,0.66206,0.28514,0.59577,0.88691,0.000184055,0.000184055,0.000184055
90,4205.91,0.4808,0.41352,0.95755,0.6693,0.80677,0.70819,0.66609,0.28234,0.58712,0.88769,0.000169908,0.000169908,0.000169908
91,4252.75,0.38405,0.34421,0.90035,0.59704,0.81196,0.69337,0.65077,0.28434,0.54786,0.88371,0.000155761,0.000155761,0.000155761
92,4299.55,0.3854,0.34867,0.89785,0.64268,0.82105,0.71114,0.66738,0.28439,0.52695,0.881,0.000141614,0.000141614,0.000141614
93,4346.21,0.38598,0.33932,0.90696,0.64089,0.81565,0.71362,0.66824,0.28331,0.50743,0.88516,0.000127467,0.000127467,0.000127467
94,4392.92,0.37517,0.33219,0.89768,0.63669,0.8266,0.70327,0.65974,0.28236,0.55466,0.88146,0.00011332,0.00011332,0.00011332
95,4439.44,0.37834,0.34057,0.89608,0.63965,0.8148,0.69874,0.65455,0.27815,0.59703,0.88083,9.91726e-05,9.91726e-05,9.91726e-05
96,4485.99,0.37747,0.33387,0.89685,0.63334,0.86586,0.71357,0.66939,0.27787,0.57233,0.88295,8.50255e-05,8.50255e-05,8.50255e-05
97,4532.66,0.37213,0.33563,0.89734,0.66408,0.84488,0.71385,0.67005,0.27697,0.57446,0.8805,7.08784e-05,7.08784e-05,7.08784e-05
98,4579.2,0.36642,0.3268,0.89147,0.65098,0.86257,0.71519,0.67045,0.27712,0.56784,0.87986,5.67313e-05,5.67313e-05,5.67313e-05
99,4625.76,0.36774,0.33325,0.89505,0.65206,0.87859,0.71684,0.67282,0.27782,0.56855,0.88061,4.25842e-05,4.25842e-05,4.25842e-05
100,4672.51,0.36885,0.33074,0.89317,0.65047,0.89593,0.71003,0.66579,0.27565,0.59914,0.88026,2.84371e-05,2.84371e-05,2.84371e-05
